gene	pathway
ACAA2	Amino Acid Synthesis
ACAT1	Amino Acid Synthesis
ACAT2	Amino Acid Synthesis
ADH6	Amino Acid Synthesis
ALDH2	Amino Acid Synthesis
AMDHD1	Amino Acid Synthesis
AOC3	Amino Acid Synthesis
ASH1L	Amino Acid Synthesis
ASL	Amino Acid Synthesis
ASNS	Amino Acid Synthesis
BHMT2	Amino Acid Synthesis
CAD	Amino Acid Synthesis
ECHS1	Amino Acid Synthesis
EHHADH	Amino Acid Synthesis
EZH2	Amino Acid Synthesis
FAH	Amino Acid Synthesis
FAHD1	Amino Acid Synthesis
GATM	Amino Acid Synthesis
GCDH	Amino Acid Synthesis
GCLC	Amino Acid Synthesis
GLS	Amino Acid Synthesis
GLUD1	Amino Acid Synthesis
GLUL	Amino Acid Synthesis
GOT1	Amino Acid Synthesis
GOT2	Amino Acid Synthesis
HADH	Amino Acid Synthesis
IL4I1	Amino Acid Synthesis
KMT2A	Amino Acid Synthesis
KMT2D	Amino Acid Synthesis
KMT2E	Amino Acid Synthesis
KYAT1	Amino Acid Synthesis
KYAT3	Amino Acid Synthesis
LDHA	Amino Acid Synthesis
LDHB	Amino Acid Synthesis
LTA4H	Amino Acid Synthesis
MAT2A	Amino Acid Synthesis
NFS1	Amino Acid Synthesis
NSD1	Amino Acid Synthesis
OAT	Amino Acid Synthesis
ODC1	Amino Acid Synthesis
OGDH	Amino Acid Synthesis
PHGDH	Amino Acid Synthesis
PPAT	Amino Acid Synthesis
PSAT1	Amino Acid Synthesis
PSPH	Amino Acid Synthesis
PYCR2	Amino Acid Synthesis
PYCR3	Amino Acid Synthesis
RIMKLB	Amino Acid Synthesis
SDS	Amino Acid Synthesis
SDSL	Amino Acid Synthesis
SHMT1	Amino Acid Synthesis
SHMT2	Amino Acid Synthesis
SRM	Amino Acid Synthesis
SRR	Amino Acid Synthesis
NDUFA1	Complex I
NDUFA12	Complex I
NDUFA13	Complex I
NDUFA2	Complex I
NDUFA3	Complex I
NDUFA4	Complex I
NDUFA6	Complex I
NDUFA7	Complex I
NDUFB1	Complex I
NDUFB10	Complex I
NDUFB11	Complex I
NDUFB2	Complex I
NDUFB4	Complex I
NDUFB7	Complex I
NDUFB8	Complex I
NDUFS7	Complex I
NDUFS8	Complex I
SDHB	Complex II
SDHC	Complex II
UQCR10	Complex III
UQCR11	Complex III
UQCRQ	Complex III
COX14	Complex IV
COX4I1	Complex IV
COX5A	Complex IV
COX5B	Complex IV
COX6A1	Complex IV
COX6B1	Complex IV
COX7B	Complex IV
COX7C	Complex IV
COX8A	Complex IV
ATP5F1D	Complex V
ATP5ME	Complex V
ATP6V1F	Complex V
AKT3	Cytokine and Chemokine Signalling
ALOX5	Cytokine and Chemokine Signalling
CBL	Cytokine and Chemokine Signalling
