Gene	Log2 fold change	P-value	BH.p.value	Gene.sets
ATF7IP	0.84	1.64e-5	0.00311	Epigenetic Regulation
IDH3B	-1.26	1.95e-5	0.00311	Mitochondrial Respiration
GPI	-1.31	1.86e-5	0.00311	Glycolysis, Pentose Phosphate Pathway, p53 Pathway
CTSA	-1.44	2.38e-5	0.00311	Antigen Presentation, Lysosomal Degradation
SOD1	-1.52	5.54e-5	0.00579	Cytokine & Chemokine Signaling, Reactive Oxygen Response
ADAL	-0.58	1.15e-4	0.00856	Nucleotide Salvage
USP8	-1.58	1.1e-4	0.00856	Endocytosis
LAT	-3	1.88e-4	0.0123	NF-kB, TCR & Costimulatory Signaling
IRF1	1.71	2.28e-4	0.0132	Cytokine & Chemokine Signaling, Transcriptional Regulation
MTF1	-1.78	2.65e-4	0.0139	Reactive Oxygen Response
HK1	-0.548	3.12e-4	0.0146	Glycolysis
FAH	-1.59	3.35e-4	0.0146	Amino Acid Synthesis
LY86	3.18	4.63e-4	0.0151	TLR Signaling
AMPD2	-1.26	4.47e-4	0.0151	Nucleotide Salvage, Nucleotide Synthesis
PKM	-1.98	4.41e-4	0.0151	Glycolysis, Nucleotide Synthesis
BCL2A1	-2.78	3.84e-4	0.0151	NF-kB
DGLUCY	1.19	5.47e-4	0.0168	Glutamine Metabolism
PSMA7	-1.58	6.19e-4	0.017	Antigen Presentation, Cell Cycle, Cytokine & Chemokine Signaling, Hypoxia
CDA	-2.06	5.86e-4	0.017	Nucleotide Salvage, Nucleotide Synthesis
IDH3G	-1.1	6.6e-4	0.0171	Mitochondrial Respiration
BRCC3	-1.16	7.52e-4	0.0171	Cell Cycle, DNA Damage Repair
CTSD	-2.1	6.92e-4	0.0171	Antigen Presentation, Autophagy, Lysosomal Degradation
TDO2	-7.06	7.19e-4	0.0171	TryptophanKynurenine Metabolism
MAP2K2	-0.671	0.00112	0.0238	Autophagy, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR
OAT	-1.14	0.00114	0.0238	Amino Acid Synthesis, Glutamine Metabolism
CD276	-3.19	0.00121	0.0243	TCR & Costimulatory Signaling
SDHB	-0.875	0.00143	0.0277	IDH12 Activity, Mitochondrial Respiration
CD84	2.37	0.00166	0.0285	NA
AKT3	1.49	0.00202	0.0285	AMPK, Autophagy, Cell Cycle, Cytokine & Chemokine Signaling, MAPK, PI3K, TCR & Costimulatory Signaling, mTOR, p53 Pathway
PRKAB2	0.998	0.00174	0.0285	AMPK, Autophagy, Fatty Acid Oxidation, Mitochondrial Respiration, mTOR, p53 Pathway
GPX4	-0.677	0.00187	0.0285	Reactive Oxygen Response
