...1	Log2 fold change	std error (log2)	Lower confidence limit (log2)	Upper confidence limit (log2)	Linear fold change	Lower confidence limit (linear)	Upper confidence limit (linear)	P-value	BH.p.value	method	Gene.sets	probe.ID
IL6-mRNA	5.36	0.368	4.64	6.08	41.1	24.9	67.8	1.29e-4	0.0434	lm.nb	Cytokine & Chemokine Signaling, PI3K	NM_000600.3:364
SOD2-mRNA	2.41	0.177	2.06	2.75	5.3	4.17	6.74	1.69e-4	0.0434	lm.nb	Cytokine & Chemokine Signaling, Mitochondrial Respiration	NM_000636.2:201
CCL5-mRNA	1.23	0.116	1.01	1.46	2.35	2.01	2.75	4.4e-4	0.0504	loglinear	Cytokine & Chemokine Signaling	NM_002985.2:277
IDO1-mRNA	5.33	0.521	4.3	6.35	40.1	19.8	81.4	5.18e-4	0.0504	lm.nb	TryptophanKynurenine Metabolism	NM_002164.5:52
PIK3R2-mRNA	-0.878	0.091	-1.06	-0.7	0.544	0.481	0.616	6.44e-4	0.0504	loglinear	AMPK, Autophagy, Cytokine & Chemokine Signaling, PI3K, TCR & Costimulatory Signaling, mTOR	NM_005027.2:3100
CCL4-mRNA	2.54	0.263	2.02	3.05	5.8	4.06	8.29	6.45e-4	0.0504	lm.nb	Cytokine & Chemokine Signaling, NF-kB	NM_002984.2:201
NT5E-mRNA	1.81	0.191	1.43	2.18	3.5	2.7	4.54	6.92e-4	0.0504	lm.nb	Nucleotide Synthesis, Vitamin & Cofactor Metabolism	NM_002526.2:1214
IRF1-mRNA	1.06	0.115	0.83	1.28	2.08	1.78	2.43	7.86e-4	0.0504	loglinear	Cytokine & Chemokine Signaling, Transcriptional Regulation	NM_002198.2:15
CTSL-mRNA	2.14	0.242	1.67	2.62	4.42	3.18	6.14	9.03e-4	0.0515	lm.nb	Antigen Presentation, Autophagy, Lysosomal Degradation, TLR Signaling	NM_001912.4:1072
PHGDH-mRNA	-0.733	0.0865	-0.902	-0.563	0.602	0.535	0.677	0.00106	0.0545	loglinear	Amino Acid Synthesis, Glutamine Metabolism	NM_006623.3:1900
ACAT1-mRNA	-0.789	0.101	-0.987	-0.592	0.579	0.505	0.663	0.00143	0.0669	loglinear	Amino Acid Synthesis, Fatty Acid Oxidation, TryptophanKynurenine Metabolism	NM_000019.3:282
TNF-mRNA	1.21	0.16	0.898	1.53	2.32	1.86	2.88	0.00163	0.0685	lm.nb	Cytokine & Chemokine Signaling, MAPK, NF-kB, TCR & Costimulatory Signaling, mTOR	NM_000594.2:1010
CAD-mRNA	-0.941	0.128	-1.19	-0.69	0.521	0.438	0.62	0.00182	0.0685	loglinear	Amino Acid Synthesis, Myc, Nucleotide Synthesis	NM_004341.3:2380
NFS1-mRNA	-0.513	0.0702	-0.65	-0.375	0.701	0.637	0.771	0.00187	0.0685	loglinear	Amino Acid Synthesis	NM_021100.3:1775
LDHB-mRNA	-0.96	0.135	-1.22	-0.696	0.514	0.428	0.617	0.00206	0.0704	loglinear	Amino Acid Synthesis, Glycolysis, Mitochondrial Respiration	NM_001174097.1:586
FASN-mRNA	-1.16	0.173	-1.5	-0.818	0.449	0.355	0.567	0.00259	0.0832	loglinear	AMPK, Fatty Acid Synthesis, Myc, Vitamin & Cofactor Metabolism	NM_004104.4:5387
APRT-mRNA	-0.633	0.1	-0.829	-0.436	0.645	0.563	0.739	0.00323	0.0896	loglinear	Nucleotide Salvage, Nucleotide Synthesis	NM_000485.2:662
OAT-mRNA	-0.764	0.124	-1.01	-0.521	0.589	0.497	0.697	0.00353	0.0896	loglinear	Amino Acid Synthesis, Glutamine Metabolism	NM_000274.3:775
CAT-mRNA	-0.821	0.134	-1.08	-0.559	0.566	0.472	0.679	0.00355	0.0896	lm.nb	Reactive Oxygen Response, TryptophanKynurenine Metabolism	NM_001752.2:1130
IMPDH1-mRNA	-0.929	0.152	-1.23	-0.631	0.525	0.427	0.646	0.00362	0.0896	lm.nb	Nucleotide Synthesis	NM_000883.3:862
SLC16A1-mRNA	-0.86	0.141	-1.14	-0.584	0.551	0.455	0.667	0.00367	0.0896	loglinear	Mitochondrial Respiration	NM_003051.3:635
GMPR-mRNA	1.14	0.195	0.757	1.52	2.2	1.69	2.87	0.00428	0.0983	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_006877.3:325
KANSL1-mRNA	0.312	0.0538	0.206	0.417	1.24	1.15	1.34	0.00441	0.0983	loglinear	Epigenetic Regulation	NM_001193465.1:1838
IMPDH2-mRNA	-0.939	0.165	-1.26	-0.615	0.522	0.417	0.653	0.00476	0.102	loglinear	Nucleotide Synthesis	NM_000884.2:545
CPT1A-mRNA	-0.998	0.18	-1.35	-0.646	0.501	0.392	0.639	0.00516	0.102	loglinear	AMPK, Fatty Acid Oxidation	NM_001876.3:1355
